
Sujet,Bloc,Stim,Hits,FA,Miss,RC,RT,Similarity,m_ppo,m_td,m_iti,t_pi,t_td,m_density,Uncertainty
1,2,mask_ppo_24_td_01,0,0,0,1,0.0,,24.0,0.1,1500.0,,,7.0,
1,2,mask_ppo_32_td_007,0,0,0,1,0.0,,32.0,0.07,1500.0,,,9.0,232.0
1,2,mask_ppo_32_td_009,0,0,0,1,0.0,,32.0,0.09,1500.0,,,10.0,232.0
1,2,mask_ppo_48_td_003,0,0,0,1,0.0,,48.0,0.03,1500.0,,,14.0,
1,2,mask_ppo_4_td_002,0,1,0,0,6762.0,,4.0,0.02,1500.0,,,1.0,29.0
1,2,mask_ppo_4_td_002_target_fq_1430_td_006,1,0,0,0,7652.0,-40.0,4.0,0.02,1500.0,1430.0,0.06,1.0,29.0
1,2,mask_ppo_4_td_002_target_fq_489_td_006,0,0,1,0,0.0,-40.0,4.0,0.02,1500.0,489.0,0.06,1.0,29.0
1,2,mask_ppo_4_td_006_target_fq_1000_td_006,0,0,1,0,0.0,0.0,4.0,0.06,1500.0,1000.0,0.06,1.0,29.0
1,2,mask_ppo_4_td_006_target_fq_2924_td_01,0,0,1,0,0.0,-40.0,4.0,0.06,1500.0,2924.0,0.1,1.0,29.0
1,2,mask_ppo_4_td_006_target_fq_489_td_01,0,0,1,0,0.0,-40.0,4.0,0.06,1500.0,489.0,0.1,1.0,29.0
1,2,mask_ppo_4_td_01_target_fq_1000_td_002,0,0,1,0,0.0,80.0,4.0,0.1,1500.0,1000.0,0.02,1.0,29.0
1,2,mask_ppo_4_td_01_target_fq_2045_td_01,0,0,1,0,0.0,0.0,4.0,0.1,1500.0,2045.0,0.1,1.0,29.0
1,2,mask_ppo_4_td_01_target_fq_489_td_002,1,0,0,0,8633.0,80.0,4.0,0.1,1500.0,489.0,0.02,1.0,29.0
1,2,mask_ppo_56_td_009,0,0,0,1,0.0,,56.0,0.09,1500.0,,,17.0,
1,2,mask_ppo_56_td_01,0,0,0,1,0.0,,56.0,0.1,1500.0,,,17.0,
1,2,mask_ppo_64_td_002_target_fq_1430_td_002,0,0,1,0,0.0,0.0,64.0,0.02,1500.0,1430.0,0.02,18.0,463.0
1,2,mask_ppo_64_td_002_target_fq_489_td_002,0,0,1,0,0.0,0.0,64.0,0.02,1500.0,489.0,0.02,18.0,463.0
1,2,mask_ppo_64_td_006,0,0,0,1,0.0,,64.0,0.06,1500.0,,,19.0,463.0
1,2,mask_ppo_64_td_006_target_fq_1000_td_002,0,0,1,0,0.0,40.0,64.0,0.06,1500.0,1000.0,0.02,19.0,463.0
1,2,mask_ppo_64_td_006_target_fq_2924_td_002,0,0,1,0,0.0,40.0,64.0,0.06,1500.0,2924.0,0.02,19.0,463.0
1,2,mask_ppo_64_td_006_target_fq_489_td_01,0,0,1,0,0.0,-40.0,64.0,0.06,1500.0,489.0,0.1,19.0,463.0
1,2,mask_ppo_64_td_008,0,0,0,1,0.0,,64.0,0.08,1500.0,,,19.0,463.0
1,2,mask_ppo_64_td_01_target_fq_1000_td_01,0,0,1,0,0.0,0.0,64.0,0.1,1500.0,1000.0,0.1,19.0,463.0
1,2,mask_ppo_64_td_01_target_fq_2045_td_01,0,0,1,0,0.0,0.0,64.0,0.1,1500.0,2045.0,0.1,19.0,463.0
1,2,mask_ppo_64_td_01_target_fq_489_td_01,0,0,1,0,0.0,0.0,64.0,0.1,1500.0,489.0,0.1,19.0,463.0
1,2,mask_ppo_8_td_004,0,0,0,1,0.0,,8.0,0.04,1500.0,,,2.0,58.0
1,3,mask_ppo_16_td_002_target_fq_1430_td_006,0,0,1,0,0.0,-40.0,16.0,0.02,1500.0,1430.0,0.06,4.0,115.0
1,3,mask_ppo_16_td_002_target_fq_699_td_002,0,0,1,0,0.0,0.0,16.0,0.02,1500.0,699.0,0.02,4.0,115.0
1,3,mask_ppo_16_td_006_target_fq_1000_td_006,0,0,1,0,0.0,0.0,16.0,0.06,1500.0,1000.0,0.06,5.0,115.0
1,3,mask_ppo_16_td_006_target_fq_2045_td_006,0,0,1,0,0.0,0.0,16.0,0.06,1500.0,2045.0,0.06,5.0,115.0
1,3,mask_ppo_16_td_006_target_fq_489_td_002,0,0,1,0,0.0,40.0,16.0,0.06,1500.0,489.0,0.02,5.0,115.0
1,3,mask_ppo_16_td_008,0,0,0,1,0.0,,16.0,0.08,1500.0,,,5.0,115.0
1,3,mask_ppo_16_td_01_target_fq_1430_td_01,0,0,1,0,0.0,0.0,16.0,0.1,1500.0,1430.0,0.1,5.0,115.0
1,3,mask_ppo_16_td_01_target_fq_2924_td_002,0,0,1,0,0.0,80.0,16.0,0.1,1500.0,2924.0,0.02,5.0,115.0
1,3,mask_ppo_16_td_01_target_fq_699_td_002,0,0,1,0,0.0,80.0,16.0,0.1,1500.0,699.0,0.02,5.0,115.0
1,3,mask_ppo_24_td_005,0,0,0,1,0.0,,24.0,0.05,1500.0,,,7.0,
1,3,mask_ppo_32_td_002,0,0,0,1,0.0,,32.0,0.02,1500.0,,,9.0,232.0
1,3,mask_ppo_40_td_003,0,0,0,1,0.0,,40.0,0.03,1500.0,,,11.0,
1,3,mask_ppo_40_td_005,0,0,0,1,0.0,,40.0,0.05,1500.0,,,11.0,
1,3,mask_ppo_40_td_007,0,0,0,1,0.0,,40.0,0.07,1500.0,,,12.0,
1,3,mask_ppo_48_td_004,0,0,0,1,0.0,,48.0,0.04,1500.0,,,14.0,
1,3,mask_ppo_48_td_009,0,0,0,1,0.0,,48.0,0.09,1500.0,,,14.0,
1,3,mask_ppo_4_td_002_target_fq_1000_td_002,1,0,0,0,7952.0,0.0,4.0,0.02,1500.0,1000.0,0.02,1.0,29.0
1,3,mask_ppo_4_td_006_target_fq_1430_td_002,0,0,1,0,0.0,40.0,4.0,0.06,1500.0,1430.0,0.02,1.0,29.0
1,3,mask_ppo_4_td_006_target_fq_2045_td_006,1,0,0,0,4989.0,0.0,4.0,0.06,1500.0,2045.0,0.06,1.0,29.0
1,3,mask_ppo_4_td_006_target_fq_489_td_006,0,0,1,0,0.0,0.0,4.0,0.06,1500.0,489.0,0.06,1.0,29.0
1,3,mask_ppo_4_td_006_target_fq_699_td_006,0,0,1,0,0.0,0.0,4.0,0.06,1500.0,699.0,0.06,1.0,29.0
1,3,mask_ppo_4_td_008,0,0,0,1,0.0,,4.0,0.08,1500.0,,,1.0,29.0
1,3,mask_ppo_4_td_01_target_fq_1430_td_01,1,0,0,0,5678.0,0.0,4.0,0.1,1500.0,1430.0,0.1,1.0,29.0
1,3,mask_ppo_4_td_01_target_fq_2924_td_002,1,0,0,0,6591.0,80.0,4.0,0.1,1500.0,2924.0,0.02,1.0,29.0
1,3,mask_ppo_4_td_01_target_fq_489_td_006,0,0,1,0,0.0,40.0,4.0,0.1,1500.0,489.0,0.06,1.0,29.0
1,3,mask_ppo_56_td_008,0,0,0,1,0.0,,56.0,0.08,1500.0,,,17.0,
1,3,mask_ppo_64_td_002_target_fq_2924_td_002,0,0,1,0,0.0,0.0,64.0,0.02,1500.0,2924.0,0.02,18.0,463.0
1,3,mask_ppo_64_td_002_target_fq_699_td_006,0,0,1,0,0.0,-40.0,64.0,0.02,1500.0,699.0,0.06,18.0,463.0
1,3,mask_ppo_64_td_006_target_fq_1430_td_006,0,0,1,0,0.0,0.0,64.0,0.06,1500.0,1430.0,0.06,19.0,463.0
1,3,mask_ppo_64_td_006_target_fq_2924_td_01,0,0,1,0,0.0,-40.0,64.0,0.06,1500.0,2924.0,0.1,19.0,463.0
1,3,mask_ppo_64_td_006_target_fq_699_td_006,0,0,1,0,0.0,0.0,64.0,0.06,1500.0,699.0,0.06,19.0,463.0
1,3,mask_ppo_64_td_007,0,0,0,1,0.0,,64.0,0.07,1500.0,,,19.0,463.0
1,3,mask_ppo_64_td_01_target_fq_1000_td_006,0,0,1,0,0.0,40.0,64.0,0.1,1500.0,1000.0,0.06,19.0,463.0
1,3,mask_ppo_64_td_01_target_fq_2045_td_006,0,0,1,0,0.0,40.0,64.0,0.1,1500.0,2045.0,0.06,19.0,463.0
1,3,mask_ppo_64_td_01_target_fq_489_td_002,0,0,1,0,0.0,80.0,64.0,0.1,1500.0,489.0,0.02,19.0,463.0
1,3,mask_ppo_8_td_008,0,0,0,1,0.0,,8.0,0.08,1500.0,,,2.0,58.0
1,4,mask_ppo_16_td_002,0,0,0,1,0.0,,16.0,0.02,1500.0,,,4.0,115.0
1,4,mask_ppo_16_td_002_target_fq_2924_td_006,1,0,0,0,10065.0,-40.0,16.0,0.02,1500.0,2924.0,0.06,4.0,115.0
1,4,mask_ppo_16_td_006_target_fq_1430_td_006,0,0,1,0,0.0,0.0,16.0,0.06,1500.0,1430.0,0.06,5.0,115.0
1,4,mask_ppo_16_td_006_target_fq_2924_td_006,0,0,1,0,0.0,0.0,16.0,0.06,1500.0,2924.0,0.06,5.0,115.0
1,4,mask_ppo_16_td_006_target_fq_2924_td_01,0,0,1,0,0.0,-40.0,16.0,0.06,1500.0,2924.0,0.1,5.0,115.0
1,4,mask_ppo_16_td_006_target_fq_699_td_002,0,0,1,0,0.0,40.0,16.0,0.06,1500.0,699.0,0.02,5.0,115.0
1,4,mask_ppo_16_td_009,0,0,0,1,0.0,,16.0,0.09,1500.0,,,5.0,115.0
1,4,mask_ppo_16_td_01_target_fq_1000_td_006,0,0,1,0,0.0,40.0,16.0,0.1,1500.0,1000.0,0.06,5.0,115.0
1,4,mask_ppo_16_td_01_target_fq_2045_td_006,0,0,1,0,0.0,40.0,16.0,0.1,1500.0,2045.0,0.06,5.0,115.0
1,4,mask_ppo_16_td_01_target_fq_2924_td_006,0,0,1,0,0.0,40.0,16.0,0.1,1500.0,2924.0,0.06,5.0,115.0
1,4,mask_ppo_16_td_01_target_fq_489_td_002,0,0,1,0,0.0,80.0,16.0,0.1,1500.0,489.0,0.02,5.0,115.0
1,4,mask_ppo_24_td_006,0,0,0,1,0.0,,24.0,0.06,1500.0,,,7.0,
1,4,mask_ppo_32_td_004,0,0,0,1,0.0,,32.0,0.04,1500.0,,,9.0,232.0
1,4,mask_ppo_32_td_006,0,0,0,1,0.0,,32.0,0.06,1500.0,,,9.0,232.0
1,4,mask_ppo_40_td_008,0,0,0,1,0.0,,40.0,0.08,1500.0,,,12.0,
1,4,mask_ppo_48_td_006,0,0,0,1,0.0,,48.0,0.06,1500.0,,,14.0,
1,4,mask_ppo_4_td_002_target_fq_2045_td_002,1,0,0,0,5543.0,0.0,4.0,0.02,1500.0,2045.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_002_target_fq_699_td_002,0,0,1,0,0.0,0.0,4.0,0.02,1500.0,699.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_004,0,0,0,1,0.0,,4.0,0.04,1500.0,,,1.0,29.0
1,4,mask_ppo_4_td_006_target_fq_1000_td_002,0,0,1,0,0.0,40.0,4.0,0.06,1500.0,1000.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_006_target_fq_489_td_002,0,0,1,0,0.0,40.0,4.0,0.06,1500.0,489.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_01_target_fq_1430_td_002,0,0,1,0,0.0,80.0,4.0,0.1,1500.0,1430.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_01_target_fq_2924_td_01,0,0,1,0,0.0,0.0,4.0,0.1,1500.0,2924.0,0.1,1.0,29.0
1,4,mask_ppo_4_td_01_target_fq_699_td_002,0,0,1,0,0.0,80.0,4.0,0.1,1500.0,699.0,0.02,1.0,29.0
1,4,mask_ppo_4_td_01_target_fq_699_td_006,0,0,1,0,0.0,40.0,4.0,0.1,1500.0,699.0,0.06,1.0,29.0
1,4,mask_ppo_56_td_004,0,0,0,1,0.0,,56.0,0.04,1500.0,,,16.0,
1,4,mask_ppo_64_td_002_target_fq_1000_td_002,0,0,1,0,0.0,0.0,64.0,0.02,1500.0,1000.0,0.02,18.0,463.0
1,4,mask_ppo_64_td_002_target_fq_2924_td_006,0,0,1,0,0.0,-40.0,64.0,0.02,1500.0,2924.0,0.06,18.0,463.0
1,4,mask_ppo_64_td_003,0,0,0,1,0.0,,64.0,0.03,1500.0,,,18.0,463.0
1,4,mask_ppo_64_td_006_target_fq_1430_td_01,0,0,1,0,0.0,-40.0,64.0,0.06,1500.0,1430.0,0.1,19.0,463.0
1,4,mask_ppo_64_td_006_target_fq_2045_td_006,0,0,1,0,0.0,0.0,64.0,0.06,1500.0,2045.0,0.06,19.0,463.0
1,4,mask_ppo_64_td_006_target_fq_699_td_01,0,0,1,0,0.0,-40.0,64.0,0.06,1500.0,699.0,0.1,19.0,463.0
1,4,mask_ppo_64_td_01_target_fq_2924_td_01,0,0,1,0,0.0,0.0,64.0,0.1,1500.0,2924.0,0.1,19.0,463.0
1,4,mask_ppo_64_td_01_target_fq_699_td_006,0,0,1,0,0.0,40.0,64.0,0.1,1500.0,699.0,0.06,19.0,463.0
1,4,mask_ppo_8_td_003,0,0,0,1,0.0,,8.0,0.03,1500.0,,,2.0,58.0
1,4,mask_ppo_8_td_007,0,0,0,1,0.0,,8.0,0.07,1500.0,,,2.0,58.0
1,5,mask_ppo_16_td_002_target_fq_1000_td_002,0,0,1,0,0.0,0.0,16.0,0.02,1500.0,1000.0,0.02,4.0,115.0
1,5,mask_ppo_16_td_002_target_fq_1000_td_006,1,0,0,0,6403.0,-40.0,16.0,0.02,1500.0,1000.0,0.06,4.0,115.0
1,5,mask_ppo_16_td_002_target_fq_2924_td_002,0,0,1,0,0.0,0.0,16.0,0.02,1500.0,2924.0,0.02,4.0,115.0
1,5,mask_ppo_16_td_005,0,0,0,1,0.0,,16.0,0.05,1500.0,,,5.0,115.0
1,5,mask_ppo_16_td_006_target_fq_1000_td_002,0,0,1,0,0.0,40.0,16.0,0.06,1500.0,1000.0,0.02,5.0,115.0
1,5,mask_ppo_16_td_006_target_fq_2045_td_01,0,0,1,0,0.0,-40.0,16.0,0.06,1500.0,2045.0,0.1,5.0,115.0
1,5,mask_ppo_16_td_01_target_fq_1000_td_002,0,0,1,0,0.0,80.0,16.0,0.1,1500.0,1000.0,0.02,5.0,115.0
1,5,mask_ppo_16_td_01_target_fq_1430_td_002,1,0,0,0,11246.0,80.0,16.0,0.1,1500.0,1430.0,0.02,5.0,115.0
1,5,mask_ppo_16_td_01_target_fq_2924_td_01,0,0,1,0,0.0,0.0,16.0,0.1,1500.0,2924.0,0.1,5.0,115.0
1,5,mask_ppo_24_td_004,0,0,0,1,0.0,,24.0,0.04,1500.0,,,7.0,
1,5,mask_ppo_24_td_009,0,0,0,1,0.0,,24.0,0.09,1500.0,,,7.0,
1,5,mask_ppo_40_td_006,0,0,0,1,0.0,,40.0,0.06,1500.0,,,12.0,
1,5,mask_ppo_48_td_002,0,0,0,1,0.0,,48.0,0.02,1500.0,,,13.0,
1,5,mask_ppo_48_td_005,0,0,0,1,0.0,,48.0,0.05,1500.0,,,14.0,
1,5,mask_ppo_4_td_002_target_fq_2045_td_006,1,0,0,0,3691.0,-40.0,4.0,0.02,1500.0,2045.0,0.06,1.0,29.0
1,5,mask_ppo_4_td_002_target_fq_699_td_006,0,0,1,0,0.0,-40.0,4.0,0.02,1500.0,699.0,0.06,1.0,29.0
1,5,mask_ppo_4_td_006,0,1,0,0,5913.0,,4.0,0.06,1500.0,,,1.0,29.0
1,5,mask_ppo_4_td_006_target_fq_1430_td_01,0,0,1,0,0.0,-40.0,4.0,0.06,1500.0,1430.0,0.1,1.0,29.0
1,5,mask_ppo_4_td_006_target_fq_2045_td_002,0,0,1,0,0.0,40.0,4.0,0.06,1500.0,2045.0,0.02,1.0,29.0
1,5,mask_ppo_4_td_006_target_fq_2924_td_006,0,0,1,0,0.0,0.0,4.0,0.06,1500.0,2924.0,0.06,1.0,29.0
1,5,mask_ppo_4_td_006_target_fq_699_td_01,0,0,1,0,0.0,-40.0,4.0,0.06,1500.0,699.0,0.1,1.0,29.0
1,5,mask_ppo_4_td_01,0,0,0,1,0.0,,4.0,0.1,1500.0,,,1.0,29.0
1,5,mask_ppo_4_td_01_target_fq_1000_td_01,0,0,1,0,0.0,0.0,4.0,0.1,1500.0,1000.0,0.1,1.0,29.0
1,5,mask_ppo_4_td_01_target_fq_699_td_01,1,0,0,0,5074.0,0.0,4.0,0.1,1500.0,699.0,0.1,1.0,29.0
1,5,mask_ppo_56_td_005,0,0,0,1,0.0,,56.0,0.05,1500.0,,,16.0,
1,5,mask_ppo_56_td_007,0,0,0,1,0.0,,56.0,0.07,1500.0,,,16.0,
1,5,mask_ppo_64_td_002,0,0,0,1,0.0,,64.0,0.02,1500.0,,,18.0,463.0
1,5,mask_ppo_64_td_002_target_fq_1430_td_006,0,0,1,0,0.0,-40.0,64.0,0.02,1500.0,1430.0,0.06,18.0,463.0
1,5,mask_ppo_64_td_002_target_fq_489_td_006,0,0,1,0,0.0,-40.0,64.0,0.02,1500.0,489.0,0.06,18.0,463.0
1,5,mask_ppo_64_td_006_target_fq_1000_td_006,0,0,1,0,0.0,0.0,64.0,0.06,1500.0,1000.0,0.06,19.0,463.0
1,5,mask_ppo_64_td_006_target_fq_2045_td_002,0,0,1,0,0.0,40.0,64.0,0.06,1500.0,2045.0,0.02,19.0,463.0
1,5,mask_ppo_64_td_006_target_fq_489_td_002,0,0,1,0,0.0,40.0,64.0,0.06,1500.0,489.0,0.02,19.0,463.0
1,5,mask_ppo_64_td_01_target_fq_1430_td_002,0,0,1,0,0.0,80.0,64.0,0.1,1500.0,1430.0,0.02,19.0,463.0
1,5,mask_ppo_64_td_01_target_fq_2924_td_002,0,0,1,0,0.0,80.0,64.0,0.1,1500.0,2924.0,0.02,19.0,463.0
1,5,mask_ppo_64_td_01_target_fq_699_td_01,0,0,1,0,0.0,0.0,64.0,0.1,1500.0,699.0,0.1,19.0,463.0
1,5,mask_ppo_8_td_006,0,0,0,1,0.0,,8.0,0.06,1500.0,,,2.0,58.0
1,6,mask_ppo_16_td_002_target_fq_2045_td_006,1,0,0,0,4568.0,-40.0,16.0,0.02,1500.0,2045.0,0.06,4.0,115.0
1,6,mask_ppo_16_td_003,0,0,0,1,0.0,,16.0,0.03,1500.0,,,5.0,115.0
1,6,mask_ppo_16_td_006,0,0,0,1,0.0,,16.0,0.06,1500.0,,,5.0,115.0
1,6,mask_ppo_16_td_006_target_fq_1430_td_01,0,0,1,0,0.0,-40.0,16.0,0.06,1500.0,1430.0,0.1,5.0,115.0
1,6,mask_ppo_16_td_006_target_fq_2924_td_002,0,0,1,0,0.0,40.0,16.0,0.06,1500.0,2924.0,0.02,5.0,115.0
1,6,mask_ppo_16_td_006_target_fq_699_td_01,0,0,1,0,0.0,-40.0,16.0,0.06,1500.0,699.0,0.1,5.0,115.0
1,6,mask_ppo_16_td_01,0,0,0,1,0.0,,16.0,0.1,1500.0,,,5.0,115.0
1,6,mask_ppo_16_td_01_target_fq_1000_td_01,0,0,1,0,0.0,0.0,16.0,0.1,1500.0,1000.0,0.1,5.0,115.0
1,6,mask_ppo_16_td_01_target_fq_2045_td_01,0,0,1,0,0.0,0.0,16.0,0.1,1500.0,2045.0,0.1,5.0,115.0
1,6,mask_ppo_16_td_01_target_fq_489_td_01,0,0,1,0,0.0,0.0,16.0,0.1,1500.0,489.0,0.1,5.0,115.0
1,6,mask_ppo_24_td_008,0,0,0,1,0.0,,24.0,0.08,1500.0,,,7.0,
1,6,mask_ppo_32_td_005,0,0,0,1,0.0,,32.0,0.05,1500.0,,,9.0,232.0
1,6,mask_ppo_40_td_009,0,0,0,1,0.0,,40.0,0.09,1500.0,,,12.0,
1,6,mask_ppo_40_td_01,0,0,0,1,0.0,,40.0,0.1,1500.0,,,12.0,
1,6,mask_ppo_48_td_008,0,0,0,1,0.0,,48.0,0.08,1500.0,,,14.0,
1,6,mask_ppo_4_td_002_target_fq_1000_td_006,1,0,0,0,3468.0,-40.0,4.0,0.02,1500.0,1000.0,0.06,1.0,29.0
1,6,mask_ppo_4_td_002_target_fq_2924_td_002,0,0,1,0,0.0,0.0,4.0,0.02,1500.0,2924.0,0.02,1.0,29.0
1,6,mask_ppo_4_td_005,0,0,0,1,0.0,,4.0,0.05,1500.0,,,1.0,29.0
1,6,mask_ppo_4_td_006_target_fq_2045_td_01,0,0,1,0,0.0,-40.0,4.0,0.06,1500.0,2045.0,0.1,1.0,29.0
1,6,mask_ppo_4_td_006_target_fq_2924_td_002,0,0,1,0,0.0,40.0,4.0,0.06,1500.0,2924.0,0.02,1.0,29.0
1,6,mask_ppo_4_td_006_target_fq_699_td_002,0,0,1,0,0.0,40.0,4.0,0.06,1500.0,699.0,0.02,1.0,29.0
1,6,mask_ppo_4_td_01_target_fq_1430_td_006,0,0,1,0,0.0,40.0,4.0,0.1,1500.0,1430.0,0.06,1.0,29.0
1,6,mask_ppo_4_td_01_target_fq_2045_td_006,0,0,1,0,0.0,40.0,4.0,0.1,1500.0,2045.0,0.06,1.0,29.0
1,6,mask_ppo_4_td_01_target_fq_2924_td_006,0,0,1,0,0.0,40.0,4.0,0.1,1500.0,2924.0,0.06,1.0,29.0
1,6,mask_ppo_64_td_002_target_fq_1000_td_006,1,0,0,0,5498.0,-40.0,64.0,0.02,1500.0,1000.0,0.06,18.0,463.0
1,6,mask_ppo_64_td_002_target_fq_2045_td_006,1,0,0,0,8744.0,-40.0,64.0,0.02,1500.0,2045.0,0.06,18.0,463.0
